reg_ymdhms,vds_id,tr_vol,trvl_spd,trvl_tm
20230216181000,VDS0023,327.0,53.9,27.0
20230216181500,VDS0023,311.0,52.3,28.0
20230216182000,VDS0023,337.0,50.7,29.0
20230216182500,VDS0023,300.0,49.6,30.0
20230216183000,VDS0023,258.0,56.1,26.0
20230216183500,VDS0023,271.0,54.5,27.0
20230216184000,VDS0023,297.0,54.1,27.0
20230216184500,VDS0023,286.0,53.5,28.0
20230216185000,VDS0023,290.0,54.8,27.0
20230216185500,VDS0023,291.0,54.2,27.0
20230216190000,VDS0023,282.0,53.8,27.0
20230216190500,VDS0023,255.0,55.9,26.0
20230216191000,VDS0023,321.0,55.4,27.0
20230216191500,VDS0023,278.0,55.3,27.0
20230216192000,VDS0023,259.0,56.1,26.0
20230216192500,VDS0023,285.0,54.5,27.0
20230216193000,VDS0023,243.0,55.2,27.0
20230216193500,VDS0023,222.0,56.2,26.0
20230216194000,VDS0023,258.0,55.3,27.0
20230216194500,VDS0023,202.0,57.3,26.0
20230216195000,VDS0023,161.0,56.7,26.0
20230216195500,VDS0023,223.0,53.1,28.0
20230216200000,VDS0023,210.0,57.8,26.0
20230216200500,VDS0023,184.0,56.7,26.0
20230216201000,VDS0023,245.0,54.2,27.0
20230216201500,VDS0023,186.0,56.5,26.0
20230216202000,VDS0023,149.0,58.7,25.0
20230216202500,VDS0023,219.0,60.5,24.0
20230216203000,VDS0023,189.0,57.5,26.0
20230216203500,VDS0023,176.0,55.7,26.0
20230216204000,VDS0023,210.0,57.8,26.0
20230216204500,VDS0023,195.0,56.3,26.0
20230216205000,VDS0023,171.0,59.4,25.0
20230216205500,VDS0023,197.0,58.0,25.0
20230216210000,VDS0023,187.0,59.1,25.0
20230216210500,VDS0023,155.0,57.2,26.0
20230216211000,VDS0023,195.0,56.7,26.0
20230216211500,VDS0023,209.0,56.9,26.0
20230216212000,VDS0023,170.0,57.9,25.0
20230216212500,VDS0023,180.0,56.7,26.0
20230216213000,VDS0023,188.0,58.5,25.0
20230216213500,VDS0023,129.0,59.4,25.0
20230216214000,VDS0023,167.0,59.5,25.0
20230216214500,VDS0023,193.0,62.5,24.0
20230216215000,VDS0023,134.0,59.7,25.0
20230216215500,VDS0023,137.0,59.4,25.0
20230216220000,VDS0023,164.0,57.6,26.0
20230216220500,VDS0023,154.0,63.7,23.0
20230216221000,VDS0023,163.0,61.9,24.0
20230216221500,VDS0023,168.0,59.9,25.0
20230216222000,VDS0023,124.0,58.1,25.0
20230216222500,VDS0023,147.0,65.2,23.0
20230216223000,VDS0023,153.0,55.4,27.0
20230216223500,VDS0023,113.0,59.6,25.0
20230216224000,VDS0023,142.0,64.8,23.0
20230216224500,VDS0023,133.0,64.6,23.0
20230216225000,VDS0023,84.0,62.7,24.0
20230216225500,VDS0023,116.0,61.6,24.0
20230216230000,VDS0023,87.0,62.3,24.0
20230216230500,VDS0023,113.0,61.6,24.0
20230216231000,VDS0023,86.0,67.1,22.0
20230216231500,VDS0023,94.0,63.9,23.0
20230216232000,VDS0023,79.0,64.8,23.0
20230216232500,VDS0023,91.0,61.0,24.0
20230216233000,VDS0023,97.0,66.2,22.0
20230216233500,VDS0023,76.0,66.4,22.0
20230216234000,VDS0023,88.0,63.2,23.0
20230216234500,VDS0023,84.0,66.1,22.0
